Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
8329.72222,11428.88889,147081.93333,16201.78889,138332.06667,24.68889,2.63704,14.57778,567.3,627803.37778,101.04444,107312.77778,10.77778,783.2,1.77778,2447.81111,2310.1,4.62222,5626.31111,2FeCuAl.a_3,170.45556,91.66667,329.16667,133.83704,411.33333,22.86667,1.0,7.18519,8.22222,6079.12222,1.74074,147.88889,1.0,1.44444,3.44444,7.0,1.0,1.22222,3.66667,2FeCuAl.i_3
8049.72222,10782.66667,162630.71111,17105.78889,133198.17778,34.06667,2.63333,22.52593,574.85556,603932.6,107.48889,131300.55556,14.77778,775.42222,1.77778,1537.03333,2542.43333,4.22222,4993.53333,2FeCuAl.a_4,167.56667,67.33333,316.05556,125.4,361.44444,159.42963,1.0,4.80741,10.44444,5968.78889,1.1037,199.44444,1.58148,1.66667,1.0,13.85185,1.0,1.0,4.33333,2FeCuAl.i_4
7852.27778,11722.11111,152486.71111,15259.01111,117288.62222,46.51111,3.86296,28.14074,636.18889,571168.6,109.93333,98168.66667,15.0,810.97778,1.0,5341.03333,1853.87778,4.82222,5046.08889,2FeCuAl.a_5,170.23333,28.33333,292.94444,130.51111,373.77778,13.42963,1.0,9.51852,9.44444,5853.01111,1.42222,229.11111,1.0,1.77778,1.0,8.92593,2.88889,1.0,4.22222,2FeCuAl.i_5
8063.16667,7715.77778,194394.82222,15777.34444,121118.73333,58.6,4.41111,20.46667,586.96667,540266.82222,113.82222,153172.22222,12.44444,797.31111,1.0,4382.14444,2895.32222,3.22222,5487.86667,2FeCuAl.a_6,158.34444,42.44444,287.94444,145.84444,372.44444,6.21481,1.11111,6.71111,9.22222,5779.45556,1.42963,228.22222,3.18889,2.0,1.0,5.2963,1.0,1.88889,3.33333,2FeCuAl.i_6
7374.72222,8157.0,195645.26667,14166.34444,110572.84444,14.6,3.87037,14.41481,540.41111,515085.6,114.71111,168665.66667,19.33333,635.86667,1.0,1927.36667,1265.87778,1.84444,3541.86667,2FeCuAl.a_7,157.67778,61.33333,284.5,105.61481,399.44444,106.43333,1.0,2.58519,7.55556,5601.45556,1.64444,190.77778,1.0,1.22222,1.0,6.2963,1.88889,1.0,5.22222,2FeCuAl.i_7
6940.27778,7186.66667,172412.15556,13780.23333,102888.95556,18.46667,4.41481,25.6963,533.96667,494081.93333,105.71111,147164.88889,15.55556,588.64444,1.0,3807.92222,784.98889,2.82222,3072.42222,2FeCuAl.a_8,151.34444,34.22222,284.61111,122.84444,342.66667,7.76667,1.0,5.28148,9.88889,5480.78889,1.20741,150.77778,1.0,1.55556,1.0,6.2963,1.88889,1.44444,2.33333,2FeCuAl.i_8
6729.27778,9517.55556,173141.71111,12805.12222,93043.4,40.28889,2.64074,7.01481,509.3,452200.71111,110.15556,142554.66667,17.55556,593.53333,1.0,131.36667,741.43333,1.4,2914.64444,2FeCuAl.a_9,151.34444,40.22222,285.16667,117.51111,373.11111,45.98148,1.0,6.39259,9.11111,5307.56667,1.42222,171.22222,1.0,1.55556,1.0,7.96296,1.0,1.22222,4.33333,2FeCuAl.i_9
14894.07778,12084.08889,3065.15556,41597.68889,1197852.25556,86.44444,3.05926,13.7037,2664.72222,1530617.56667,37.11111,32712.6,15.76296,1398.44444,1.0,320.84444,1344.33333,3.0,11613.4,2FeCuK.a_0,493.37778,42.55556,49.3,113.67407,8307.91111,45.44444,1.0,5.37778,18.04444,5474.63333,1.11111,219.13333,1.27778,2.33333,1.0,1.0,8.44444,1.84444,17.64444,2FeCuK.i_0
14000.18889,13590.64444,2985.37778,38997.35556,1170339.03333,117.33333,1.51852,20.87037,2549.72222,1472404.78889,38.0,32140.04444,13.18148,1276.77778,1.77778,304.95556,1266.22222,2.33333,13335.4,2FeCuK.a_1,441.71111,52.33333,42.3,86.38148,6970.24444,58.0,1.0,5.37778,14.93333,4797.96667,1.11111,269.8,2.16667,2.88889,1.0,2.88889,2.88889,1.84444,10.75556,2FeCuK.i_1
14455.85556,13461.31111,3473.82222,37359.57778,1130239.36667,80.22222,3.05926,25.94444,2381.38889,1431418.56667,37.22222,31971.71111,17.0963,1334.55556,1.77778,264.28889,1529.66667,5.22222,10850.28889,2FeCuK.a_2,430.48889,32.11111,47.63333,91.6037,7073.8,23.11111,1.0,3.54815,12.93333,4210.3,1.22222,225.46667,1.0,4.0,1.0,2.44444,1.88889,2.04444,10.31111,2FeCuK.i_2
14695.3,16459.86667,3730.15556,38385.24444,1172463.03333,66.11111,4.6,30.61111,2342.38889,1385410.56667,34.44444,32097.15556,18.78889,1303.44444,1.0,283.28889,1482.22222,5.55556,9945.28889,2FeCuK.a_3,428.93333,41.11111,47.41111,134.22963,7143.13333,26.88889,1.0,3.54815,15.71111,3869.52222,1.11111,215.8,1.27778,2.88889,1.0,4.22222,2.88889,1.2,10.97778,2FeCuK.i_3
14728.41111,11706.31111,3687.15556,38082.13333,1160137.58889,61.88889,5.4,31.31481,2297.05556,1351390.56667,30.11111,30118.26667,17.31852,1369.11111,2.66667,274.95556,1743.77778,4.77778,8918.73333,2FeCuK.a_4,384.6,20.11111,44.07778,121.34074,6798.35556,37.55556,1.19259,1.71852,11.26667,3701.74444,1.0,180.91111,1.27778,1.88889,1.0,4.11111,1.88889,1.4,11.64444,2FeCuK.i_4
14277.96667,14517.42222,3978.82222,37310.57778,1128554.58889,51.66667,3.85185,24.66667,2248.72222,1313212.45556,32.66667,30944.6,10.87407,1326.0,2.55556,285.51111,2017.44444,1.44444,9341.4,2FeCuK.a_5,376.6,27.33333,35.52222,146.07778,6469.68889,22.88889,1.0963,10.86667,13.93333,3576.07778,1.0,147.57778,1.0,3.44444,1.0,3.33333,3.66667,1.2,10.65926,2FeCuK.i_5
13749.96667,14537.64444,3847.82222,36062.24444,1095251.58889,182.88889,4.5037,31.42593,2275.94444,1271415.9,34.77778,27742.6,14.01111,1334.44444,1.77778,250.62222,1425.77778,1.88889,8012.84444,2FeCuK.a_6,395.15556,21.11111,41.63333,123.8963,6854.46667,20.77778,1.0963,2.43704,14.15556,3487.3,1.0,179.46667,1.27778,2.55556,1.0,1.0,3.77778,1.84444,13.31111,2FeCuK.i_6
13329.74444,12627.64444,3933.26667,34132.46667,1052953.47778,69.88889,6.06667,38.2037,2068.38889,1226271.56667,30.11111,23310.6,13.12222,1285.88889,1.0,229.84444,1170.33333,2.11111,7184.95556,2FeCuK.a_7,434.71111,38.33333,41.18889,89.97778,7410.02222,37.0,1.0,9.14815,15.37778,3350.52222,1.0,246.68889,1.27778,1.88889,1.77778,2.44444,3.77778,1.2,10.21481,2FeCuK.i_7
