Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
1520.14444,222.0,171.07778,112.04444,6657.72222,105.0,1.0,3.05926,78.98889,3257.75556,6.33333,70.22222,94.88889,4.88889,1.0,4.44444,6.28889,3.36296,42.48889,APP.16_7
1284.47778,197.55556,143.41111,50.15556,5678.05556,271.22222,1.10741,3.14074,60.32222,2963.86667,6.11111,56.44444,82.44444,4.66667,1.0,6.11111,9.11111,2.36296,29.6,APP.16_8
1459.81111,206.88889,99.41111,104.26667,6063.61111,150.44444,1.0,1.0,67.21111,2722.75556,7.11111,60.44444,92.77778,3.77778,1.0,4.77778,6.28889,3.92593,34.48889,APP.16_9
2452.97778,1380.22222,77.08889,619.71111,20830.4,28.44444,1.0,8.45185,89.03333,8657.62222,10.33333,49.22222,741.17778,3.55556,1.77778,6.0,9.28889,22.9,19.77778,APP.17_0
2563.31111,1495.55556,54.75556,746.26667,25486.28889,26.68889,1.0,4.08889,95.92222,8248.06667,10.33333,57.88889,780.51111,2.0,1.77778,4.11111,8.46667,30.01111,11.55556,APP.17_1
2478.97778,1439.0,63.2,707.48889,22697.73333,16.71111,1.0,7.34074,88.58889,7849.4,11.33333,49.0,780.84444,2.22222,2.55556,3.66667,12.93333,20.5037,10.66667,APP.17_2
2359.97778,1315.66667,63.75556,725.48889,21368.73333,24.33333,1.0,3.05926,82.25556,7534.62222,11.88889,53.11111,764.17778,2.33333,1.0,2.44444,9.93333,21.9,15.55556,APP.17_3
2430.53333,1346.0,69.08889,619.82222,21425.95556,61.33333,1.0,3.05926,90.92222,7324.84444,12.11111,54.22222,717.06667,2.33333,1.0,4.0,10.11111,23.01111,19.11111,APP.17_4
2294.53333,1319.77778,67.75556,725.6,19110.84444,28.93333,1.0,3.05926,84.25556,7162.17778,9.0,40.66667,665.17778,1.66667,1.0,4.33333,4.46667,24.34444,16.44444,APP.17_5
2538.08889,1518.66667,68.08889,674.04444,22924.73333,30.55556,1.0,6.31111,89.47778,6904.95556,11.66667,44.55556,763.95556,2.66667,1.77778,4.44444,8.11111,20.56667,12.77778,APP.17_6
