Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
112.96667,44.33333,174.47778,79.7,188.35556,63.9963,1.0,5.2,4.75556,1889.08889,1.11111,125.22222,124.77778,3.05926,1.0,4.75556,1.0,2.83333,3.17778,FeCuZnAl_1
115.85556,79.77778,169.47778,80.36296,176.02222,39.71111,1.0,7.42222,5.75556,1795.08889,1.0,140.44444,144.0,1.74815,1.0,5.51111,1.0,3.83333,3.33333,FeCuZnAl_2
120.07778,53.44444,218.7,83.02963,181.24444,36.47407,1.0,3.05926,6.08889,1689.75556,1.0,88.66667,142.55556,2.42222,1.77778,5.06667,1.0,2.33333,5.08889,FeCuZnAl_3
135.74444,55.33333,202.58889,67.58519,236.02222,79.94815,1.0,2.02963,9.71111,1595.64444,1.0,178.44444,136.77778,1.51852,1.0,7.54074,1.88889,4.33333,4.11111,FeCuZnAl_4
136.63333,71.66667,289.7,90.03333,242.57778,142.37778,1.0,5.28148,7.93333,1516.53333,1.0,115.55556,137.44444,1.53333,1.0,11.31852,1.0,4.83333,4.97778,FeCuZnAl_5
131.41111,93.77778,176.7,84.92222,215.24444,390.77407,1.0,5.2,7.04444,1464.08889,1.0,208.88889,135.0,1.31111,1.77778,6.54074,1.0,4.11111,4.55556,FeCuZnAl_6
145.74444,50.22222,238.47778,83.02963,221.91111,45.93333,1.11111,2.02963,7.37778,1411.86667,1.11111,126.55556,118.88889,1.74074,1.0,8.01481,1.0,3.16667,4.97778,FeCuZnAl_7
132.52222,58.33333,202.81111,98.36296,235.13333,29.87037,1.0,3.05926,7.04444,1333.53333,1.0,109.0,132.22222,1.85185,1.0,5.79259,1.0,4.77778,2.57778,FeCuZnAl_8
131.63333,66.44444,241.36667,87.47778,224.35556,62.75926,1.0,3.05926,6.82222,1302.2,1.0,122.22222,120.66667,1.62222,1.77778,8.57037,1.88889,3.94444,4.06667,FeCuZnAl_9
541.31111,812.46667,37.76667,1883.02222,3044.78889,224.22222,1.0,10.24074,172.33333,81424.06667,4.21481,2.37778,10927.88889,19.88889,46.88889,8.22222,5.66667,218.11111,229.11111,FeZn_0
481.64444,721.46667,30.76667,1785.02222,2691.01111,78.22222,1.0,8.81111,158.55556,75218.84444,2.54815,2.64444,8909.55556,16.33333,22.66667,3.11111,4.77778,204.0,207.77778,FeZn_1
475.64444,657.91111,36.65556,1547.68889,2403.23333,78.11111,1.0,8.01852,151.33333,68867.51111,2.02222,6.84444,8643.11111,16.55556,27.22222,6.0,6.44444,194.66667,209.33333,FeZn_2
452.2,538.8,30.54444,1351.68889,2132.78889,49.66667,1.0,2.42963,132.22222,64795.95556,2.22963,7.73333,7928.0,11.55556,18.44444,10.33333,1.88889,188.33333,192.77778,FeZn_3
456.31111,515.68889,35.87778,1205.02222,1948.56667,18.88889,1.0,1.0,123.44444,60295.51111,1.8,11.8,7725.77778,15.44444,27.77778,8.55556,2.77778,158.55556,205.11111,FeZn_4
447.08889,476.13333,40.87778,1194.24444,1947.23333,59.55556,1.11111,6.47778,111.88889,57190.62222,2.22963,9.46667,7061.11111,11.44444,23.55556,6.55556,6.55556,169.33333,207.88889,FeZn_5
429.53333,418.8,37.98889,1160.91111,1712.78889,41.66667,1.0,12.17778,102.77778,52821.62222,1.41481,7.62222,6678.0,17.22222,22.55556,2.44444,2.88889,144.77778,202.77778,FeZn_6
451.2,434.8,34.76667,975.13333,1694.56667,98.77778,1.11111,4.65185,93.88889,48734.17778,1.8,8.95556,6172.22222,11.33333,12.55556,7.44444,7.55556,145.66667,162.33333,FeZn_7
435.08889,446.02222,28.1,964.91111,1556.78889,17.11111,1.0,2.42963,88.11111,44464.84444,2.14815,10.2,5727.44444,10.11111,16.88889,16.44444,2.77778,140.77778,161.88889,FeZn_8
456.75556,363.24444,27.32222,931.35556,1460.9,13.0,1.0,9.01852,77.55556,40841.51111,1.91111,3.33333,4867.77778,10.33333,23.66667,10.55556,1.88889,106.88889,154.11111,FeZn_9
