Al,S,Cr,Mn,Co,Cu,Zn,Pb,Mg,name
-0.7427075875007677,-0.631492828397797,-6.201219416694753,-3.13991588080651,-6.011689530105121,-5.050102291715209,-4.039089656138385,-4.840404860813018,12.075234762492467,197_2
-0.6923030241585852,-0.4985352473955109,-6.533285753801232,-3.0857647252938425,-6.0077958821383,-5.044473661929303,-4.136138939611348,-4.943806369691684,11.981384153471863,197_3
-0.7314943025994197,-0.51423267666807,-5.540104136365097,-3.1119617276285814,-6.015806474600808,-5.133856165208579,-4.071697257573474,-4.819684122131743,12.036244719273029,197_4
-0.5710008034426068,-0.5672103817855043,-5.483570091005915,-3.0797378568213323,-6.001918422183931,-5.066435511635917,-4.21514867488771,-4.8464765073647715,11.962477628664763,197_5
-0.647771689331508,-0.5389078147172761,-5.478210835767833,-3.0392583901889987,-6.020570566886791,-5.008156541146357,-4.076781435973708,-4.810649842664363,11.875740520552803,197_6
-0.643330502648255,-0.5368225639806323,-5.399851377741981,-3.0482742293489045,-5.975846399095111,-4.940318336725042,-4.082541790284309,-4.477838219890823,11.846228401303593,197_7
-0.6358745616186542,-0.5486920194954256,-5.315498176183362,-3.1118609471059475,-5.964831521838968,-5.057499627051497,-4.1025666815468975,-4.50440227571784,11.814843226635325,197_8
-0.519547448087225,-0.35173206982566574,-4.538111872975056,-2.9478717655407136,-5.84240551415674,-4.8685074782903195,-3.940555084222504,-4.640772221627032,11.828896112587001,197_9
-1.1445505997531795,-1.7385797420855176,-4.345730454982101,-4.904379057474495,-6.3099102750126725,-6.407560887648343,-6.3212869619947805,-5.015117964943438,10.468988837761431,221_0
-1.0578268305609155,-1.6522215917861858,-4.750440681426921,-4.771433982291855,-6.29633632742789,-6.715547768427314,-6.062508505676824,-4.945519216491973,10.383243473224542,221_1
-1.2315219720331954,-1.9368823389497931,-5.458602872147194,-4.917067424761127,-6.116320701323848,-6.548296349487296,-6.334214137783066,-5.134661410017268,10.299494749272748,221_2
-1.2126139908832603,-1.9981123345348146,-5.855301253698876,-4.8439659877370325,-6.195430145948268,-6.2459137680777115,-6.117128966227174,-4.376132922338091,10.380175044919527,221_3
-1.3541561771092565,-1.991708634323946,-6.552346199926844,-4.762069329205006,-5.891891320629482,-6.350766690288702,-6.539359133432299,-5.214749382265816,10.339048539022974,221_4
-1.2184731858096,-1.5985619980590282,-6.536865495513664,-4.780541339779731,-6.033082295715851,-6.574221109047066,-6.107717945315132,-4.315785030129407,10.285704515583207,221_5
-1.1461120355168173,-2.544571723825735,-5.4029601312381255,-4.891457056770366,-6.153408569709466,-6.695486575036227,-6.78939717448613,-4.197052348359974,10.286079732273896,221_6
-1.3620033229155164,-2.245765714572277,-6.505938507841822,-4.882816846401589,-5.984641584208536,-6.585703295805286,-6.616395649391545,-4.364275972167098,10.222581094931769,221_7
-1.4143021294017397,-2.2034376179527384,-5.348829665659456,-4.8168147304895035,-6.183913166622404,-6.7136580080437325,-8.12252964633468,-4.347284571554625,10.052148907837447,221_8
-1.2519540518536267,-1.9776024205418257,-5.056542260166127,-4.765358244664218,-5.977236198553831,-6.4024551835160395,-6.545171642873872,-4.9856958498305275,10.20768005807258,221_9
-1.4330063492911955,-2.7547800522007404,-5.730578664015479,-4.935682314343196,-5.953029442522077,-5.446190980946604,-6.780842288227629,-5.720106837832256,10.908869162388214,222_0
-1.5093474485235803,-3.334610661207868,-5.659060867201187,-5.07802165563017,-6.1497754167049274,-5.492208683591721,-6.718214149955741,-5.7914230933275315,10.434145201989692,222_1
-1.3401740588144933,-2.4404007080510945,-6.36105297408344,-5.181714519045214,-6.068994701704364,-5.490224569774415,-6.646558593199597,-5.7528992079698105,10.277943481334244,222_2
-1.4162909664379666,-3.160494344070399,-5.133138388863073,-5.410755688314232,-6.229936968142919,-5.759593634301202,-6.689255589493669,-5.855046985662881,9.813672266264305,222_3
-1.3697099693820143,-3.3152003979770774,-6.254949978025723,-5.681462843604684,-6.220463632463043,-5.708113788119344,-6.981323076484296,-6.174337176476329,9.59458182116081,222_4
-1.591435618545792,-2.704705805142184,-4.322441987333253,-6.030780164429487,-6.441245248878956,-5.610400887309198,-7.106865667219912,-5.9524607293954865,8.364041934998983,222_5
-1.4676752131376483,-3.2029667820231693,-5.02193967221674,-6.072746518526822,-6.2902488038272635,-5.588909213755883,-6.891715342633617,-6.232318472838627,8.82438377879975,222_6
-1.3940640610601471,-3.020997778253553,-4.69737608647871,-5.878533443807409,-6.249130391972526,-5.773172777773654,-6.812123547759633,-6.282422100932059,8.794824978014516,222_7
-1.4106161180875338,-2.0660778377394817,-4.253650739418122,-6.03160807671418,-6.341154195095287,-5.84628208650172,-6.610524892692845,-6.1241360727678495,8.406708409100915,222_8
-1.3845926888366953,-2.6341804510437865,-6.116786990975865,-5.751372647084737,-6.331197079712648,-5.507625406066054,-6.716408470667908,-5.959467052843074,9.072456664612796,222_9
-1.1175811061948115,-2.0567478057072477,-4.843388459112227,-5.103161599340971,-5.939892674158729,-5.387180480883217,-6.741618702433051,-5.570111455454283,10.654502614829148,223_0
-1.014932163523969,-2.2785774863839197,-5.911278311218098,-5.022016388718172,-6.073453027518212,-5.465169144419319,-6.51089979091014,-5.012422691417301,10.101805468882882,223_1
-0.9247550521079217,-2.310156128357003,-4.444879557261132,-4.988199017436742,-5.981499246478172,-5.500554848210058,-6.728935277341595,-5.531134761272525,10.1532340727914,223_2
-0.8614215677742751,-1.6479590381680649,-5.140365951383606,-4.963534161099282,-6.066986420188805,-5.377521698536025,-6.509209277575871,-5.038662039300741,10.31214755154081,223_3
-1.148073605307357,-1.6097368546185424,-5.81276973920244,-4.9512871029782195,-5.7873641587544755,-5.342071975923483,-6.089617383281618,-4.464215609911554,9.440181435996855,223_4
-1.117254091004374,-1.7861961380931033,-4.65219445453604,-4.78123941404063,-5.797636479208763,-5.741887931876141,-6.369988990881407,-4.7546598920738825,9.722385278514734,223_5
-1.004414003320936,-1.536509295545752,-5.030026175591234,-4.8127394269772035,-6.024392617624576,-5.58754599592666,-6.0321188958626895,-3.9543846436569003,9.866408561417995,223_6
-1.2122534038584856,-1.415847150927981,-5.720912689465733,-4.63722590063837,-6.263424534720432,-5.514802180291854,-6.087911328066873,-4.331536692577665,9.703083468030117,223_7
-1.1656189443834595,-1.4303211843289438,-5.704411906522396,-4.530898412773957,-5.813026834848126,-5.623344032204107,-5.659675887681012,-3.781696302245387,9.60797487879621,223_8
-1.0412968038547736,-1.756256705409541,-4.978047823590192,-4.7218792840719885,-5.9960565015598855,-5.222167317789427,-5.7605120569676815,-3.8361836268652225,9.979105104094156,223_9
-2.347157974837959,-2.5316366678826587,-6.2770586971828335,-4.393627852079021,-4.859031809660607,-5.381069741105714,-6.614528712192013,-5.59731848038342,12.11697910233622,224_0
-2.4399426141231695,-2.3242589282183284,-6.609404639910171,-4.383637691427227,-4.761800375937604,-5.441191540610945,-6.557735992579853,-5.661973873366934,11.697436292062179,224_1
-2.544378746238156,-2.3086405812063777,-7.266343835396045,-4.264187788524268,-4.535552226590822,-6.222931056943608,-6.4856407937519,-5.783057124255234,11.294483345958138,224_2
-2.247362780165182,-2.2940527001747903,-5.825355951256854,-4.198356026639583,-4.550847112461253,-5.928304162127908,-6.073752047357509,-5.604631028332944,11.735836986727662,224_3
-2.3015339611196093,-2.320928971882665,-7.208042570667879,-4.215314806134187,-4.51769194666507,-6.078434163677485,-6.18169657250851,-5.606039562094434,11.260095597619936,224_4
-2.327005442914824,-2.269618418258224,-7.191543948467436,-4.270415508447642,-4.618530031169169,-5.951560722695637,-6.435084549842859,-5.4375248072222275,11.44853626484372,224_5
