Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
480.06667,246.33333,133.8,37.81481,890.82222,5357.66667,1.1037,1.0,24.33333,7383.55556,16.15556,31.24444,9.33333,24.88889,1.0,10.76296,7.36667,68.16667,22.11111,223.i_1
491.51111,259.33333,140.91111,35.25926,900.48889,4267.88889,1.0,4.17037,24.22222,7105.44444,17.04444,29.02222,7.22222,23.22222,1.0,11.62222,6.36667,67.72222,12.66667,223.i_2
484.28889,304.0,146.46667,66.7037,852.82222,3495.11111,1.20741,2.02963,24.22222,6932.33333,15.26667,32.02222,8.77778,23.77778,1.0,12.76296,10.36667,52.83333,20.22222,223.i_3
412.51111,127.11111,106.13333,66.88889,742.6,137.77778,1.0,1.0,23.66667,6690.88889,19.48889,32.02222,12.88889,19.77778,1.0,11.68148,8.36667,65.83333,34.66667,223.i_4
429.62222,168.55556,104.91111,53.74074,765.93333,1853.44444,1.42222,3.05926,26.88889,6413.11111,18.48889,20.57778,9.33333,24.44444,1.0,7.23704,9.36667,64.72222,24.85185,223.i_5
382.62222,194.66667,113.68889,66.77778,736.15556,2605.22222,1.20741,2.02963,25.22222,6208.11111,14.26667,23.24444,12.66667,17.33333,1.0,8.93333,17.83333,42.38889,53.55556,223.i_6
386.06667,165.33333,90.8,74.07407,675.82222,2069.55556,1.0,1.0,29.55556,6103.66667,11.04444,24.57778,11.77778,19.11111,1.0,11.45926,12.15556,44.94444,36.11111,223.i_7
357.4,150.33333,93.57778,71.81481,667.6,390.44444,1.0,1.0,32.33333,6003.77778,17.04444,21.68889,17.77778,15.22222,1.71852,13.06667,13.94444,47.83333,61.55556,223.i_8
400.06667,217.88889,104.02222,50.88889,712.93333,2346.44444,1.0,2.02963,26.22222,5893.66667,13.93333,31.8,15.77778,20.11111,1.0,11.17778,13.52222,54.22222,57.22222,223.i_9
3895.87778,1848.0,155.72222,129.48889,3928.63333,9012.0,1.0,3.05926,201.17778,32564.04444,240.0,149.88889,37.11111,78.77778,1.0,10.44444,31.0,28.3,54.33333,224.i_0
2689.32222,1214.77778,131.27778,147.37778,3489.74444,7770.44444,1.22222,2.02963,187.95556,30121.37778,244.66667,130.55556,36.33333,56.11111,1.0,10.22222,14.33333,30.96667,47.11111,224.i_1
1305.98889,811.88889,112.38889,142.26667,2537.52222,1512.33333,1.22222,1.0,201.28889,28626.15556,291.55556,56.77778,37.11111,35.66667,1.0,13.77778,1.0,24.63333,39.66667,224.i_2
1821.54444,1262.33333,146.38889,139.71111,2821.52222,5431.0,1.11111,4.08889,208.06667,27704.82222,277.88889,73.77778,54.22222,34.66667,1.0,14.77778,8.66667,20.85556,45.88889,224.i_3
1390.98889,784.44444,135.16667,132.57037,2532.74444,2131.33333,1.33333,1.0,199.4,27004.93333,280.0,61.88889,47.44444,37.55556,1.0,11.22222,7.44444,24.07778,44.66667,224.i_4
1658.76667,947.11111,129.61111,137.26667,2622.07778,3740.33333,1.66667,1.0,185.62222,26563.04444,249.0,69.11111,36.22222,37.66667,1.0,11.0,11.44444,29.52222,52.0,224.i_5
1280.1,631.0,136.83333,119.15556,2508.18889,1834.0,1.0,2.02963,189.51111,26115.71111,263.11111,46.66667,42.33333,23.22222,1.0,7.22222,3.77778,24.52222,34.0,224.i_6
1347.76667,893.55556,116.94444,121.82222,2404.07778,2044.66667,1.22222,2.02963,182.95556,25810.37778,268.77778,52.22222,47.0,28.77778,1.0,8.22222,4.77778,28.63333,43.66667,224.i_7
1376.21111,733.88889,122.61111,178.6,2395.74444,2770.44444,1.11111,4.17037,179.06667,25484.26667,245.44444,56.11111,39.55556,40.88889,1.0,7.44444,31.22222,26.41111,60.22222,224.i_8
1668.87778,1067.55556,131.16667,134.6,2620.52222,3809.11111,1.0,5.28148,180.28889,25221.26667,235.55556,57.22222,42.33333,44.44444,1.0,8.0,54.77778,20.07778,61.55556,224.i_9
1692.98889,86.57778,265.04444,76.05556,1677.14444,37.66667,1.1037,6.31111,31.92222,9908.93333,7.33333,47.44444,11.77778,33.33333,1.0,5.44444,13.15556,29.22222,303.73333,225.i_0
1710.87778,79.68889,270.71111,68.27778,1651.03333,65.88889,1.41481,5.2,37.25556,9515.15556,5.88889,40.77778,21.11111,29.88889,1.0,7.0,27.08889,31.77778,303.84444,225.i_1
1548.43333,86.68889,287.26667,42.16667,1580.47778,68.0,1.20741,4.17037,34.92222,9252.6,6.44444,38.55556,13.0,25.44444,1.0,7.88889,22.62222,27.0,259.28889,225.i_2
1624.65556,79.35556,319.15556,77.11111,1558.47778,86.77778,1.42963,5.28148,33.03333,9111.04444,6.44444,39.11111,7.77778,32.22222,1.0,6.11111,19.52222,24.0,249.4,225.i_3
1688.1,98.68889,290.71111,103.0,1674.03333,41.33333,1.42222,3.05926,36.58889,8948.15556,6.33333,30.11111,14.11111,25.0,1.77778,6.77778,21.52222,33.11111,274.62222,225.i_4
1584.76667,67.57778,216.48889,41.11111,1417.58889,19.11111,1.0,4.17037,31.58889,8801.26667,6.22222,27.55556,13.33333,16.66667,1.77778,7.33333,7.94444,24.77778,272.28889,225.i_5
1611.43333,72.24444,306.04444,70.83333,1565.58889,35.44444,1.0,7.34074,33.92222,8706.93333,7.66667,37.88889,13.55556,30.55556,1.77778,6.33333,18.62222,24.0,266.73333,225.i_6
1514.76667,71.24444,210.6,64.22222,1488.14444,25.22222,1.31852,3.05926,30.47778,8560.26667,6.33333,33.33333,11.0,16.33333,1.0,9.0,18.52222,22.88889,265.62222,225.i_7
1583.87778,82.46667,319.71111,51.33333,1516.47778,45.55556,1.20741,3.05926,31.47778,8470.93333,6.44444,30.88889,8.88889,15.77778,1.0,7.55556,26.51111,26.66667,295.51111,225.i_8
1596.65556,66.35556,183.93333,75.61111,1379.81111,17.0,1.31852,3.05926,31.25556,8381.71111,5.77778,29.88889,14.22222,15.55556,1.0,5.66667,13.31111,21.88889,267.95556,225.i_9
