,C,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Rb,Sr,Zr,Cd,Sn,Ba,La,Hg,Pb,probka,short
ML.0C.13,5.4340958566397015,0.5084746394593168,0.3351035785581408,0.1947080109379377,0.3059953856016752,0.0010578598236593,0.0027463711642076,0.0009439863043875,2.574456074810453,0.5384384779015785,1.4448024670213797,0.0001665116093128,0.0070088513284062,0.3209412880595382,855.2933382436206,0.0358733403850614,0.0768738834147184,0.2326284395781412,0.4321696724876385,0.0008770619038917,0.0039944993972318,0.0715968303910963,0.0122622429411585,0.000578453358161,0.0107713924076386,0.014892660829362,9.138536005880532e-06,0.0154821802078811,0.0508834264885019,ML0C,ML
ML.0C.14,6.792549376551543,0.5578164713444593,0.1984098857316763,0.1718983005762773,0.2577888767339105,0.0006104671022082,0.0025643382470975,0.0014556188828195,2.8535033485042662,0.240308557026551,0.5131510411667263,1.4676486120852434e-05,0.0023315620481023,0.3384405452056662,786.3423821630107,0.0437153865085807,0.0615883098005689,0.252030832318704,0.5087418717412174,0.0010417197070673,0.003963897633685,0.0400980467874775,0.0021843756476368,0.0005430085921828,0.0087517902789522,0.0080793850887561,9.939854628754808e-06,0.016856804380224,0.0420331014455038,ML0C,ML
ML.0C.15,7.183284986161179,0.5818457173882923,0.2082866449287306,0.2045359890385378,0.3019020384411894,0.0008310052621043,0.0033475269207097,0.0016123035854749,2.918949984679415,0.4757806980522284,0.6833765471512159,6.33426464647677e-05,0.0019394838581048,0.374598248092458,741.7838207451321,0.044947827907374,0.0563726069458801,0.2697604280754179,0.4863464719462602,0.0009442221191692,0.0036980675170609,0.0450374312260378,0.0017059312064627,0.0010835304544091,0.0139626069930747,0.0104482730521611,3.186847678503819e-05,0.0168203035998711,0.0438718514103125,ML0C,ML
ML.10A.1,2.240589194924219,0.615753368540673,0.1416333547340351,0.0181799552845726,0.0357656705952493,0.0001440621434427,0.0051810491797491,0.0003414026486282,4.024280136042278,0.0902344053732594,0.0103405738922718,9.951128387422526e-06,0.0003315952802161,0.1685572481009684,4455.459360492198,0.0083072491146135,0.0,0.0728721474847826,0.3119791627262212,0.0004714498644886,0.0057808845144179,0.0256101969267674,7.954993785427945e-05,0.0007695234563928,0.002125741297804,0.0004968508196865,0.0,0.0144896755850737,0.0046389880421044,ML10A,ML
ML.10A.2,2.7475842850766456,0.7168436881219352,0.1683331245632678,0.0188516733132196,0.0441375735753914,0.0002126828586019,0.0049892670691891,0.0003687367529238,4.595385125269493,0.1643034490033662,0.0177848033600814,7.903976627402542e-06,0.0007584585029741,0.1994921926758758,3469.859318177573,0.0102993514198528,0.0,0.0832778944324959,0.353997579668302,0.0005981462029742,0.0063545445942398,0.0218453482239076,3.7912754009286986e-05,0.0003618367739714,0.0026697055221205,6.652201595728405e-05,4.216698365989781e-06,0.0159507634967606,0.0066407872717223,ML10A,ML
ML.10A.3,2.420713495071598,0.6961743494858575,0.1704136533540935,0.0217842273244196,0.0424881047939263,0.0003742807305499,0.00537439796404,0.0005320969813995,4.725312444239145,0.1927480406286383,0.0138112440449217,0.0,0.0006867917157332,0.2073570080353434,3040.0484557675472,0.0122519031784456,6.446735470380896e-05,0.0792130999864187,0.35646959440455,0.0006700396901674,0.006134147252824,0.0301352981158023,3.858180959743807e-05,0.0009530683530251,0.001024744837056,0.000715545957569,2.4064337016430366e-06,0.0172602988418055,0.0074743908541591,ML10A,ML
ML.10A.4,2.858404392037351,0.7373962638493803,0.1691182599482709,0.0258656543199467,0.0278345851252611,0.0002562511858896,0.0060749590299755,0.0005272848343835,4.937479649597174,0.1895713228618103,0.007994464015666,6.309592777087616e-06,0.0003664515938645,0.2198683673048174,2810.758138446224,0.0123140893712728,0.0,0.0866177799260519,0.3718904958415779,0.0006773966671995,0.006725241513348,0.0356349767193608,2.0750739506458293e-05,0.0003912374561427,0.0015460961461315,0.000601968672996,2.3764671339504385e-05,0.0160289937684536,0.0089285846101406,ML10A,ML
ML.10A.5,3.0593650054668404,0.7450895551509065,0.1708648874073329,0.0270626351461851,0.040915521866242,0.00038243609589,0.005558751388159,0.000439264496938,4.944968836133649,0.1173785148495067,0.0053263198925261,8.088752477671174e-06,0.0003539326229063,0.2152312916464059,2587.9215615252697,0.0120503686947604,1.4023026286568069e-05,0.0870315085395866,0.3720765430528403,0.0008823167237394,0.0066234040450218,0.0430216334013665,0.0001194347079096,0.0006423052406613,0.000973148123078,0.0003429737569847,8.55441643766777e-06,0.0117995174785015,0.0070519410483729,ML10A,ML
ML.10A.6,3.631269508483941,0.7632874336493984,0.1802400358428373,0.035748819676092,0.0655761256707156,0.0002956078676445,0.0056217282844515,0.000803803153965,4.933899904173656,0.2643717759387612,0.0119338592640573,4.289804588723241e-05,0.0006999864518146,0.230137983579426,2276.0258297801684,0.0162363721322625,0.0,0.0945382045369062,0.3881063917787123,0.0007777223524604,0.0059783923895438,0.0219055327838288,0.0001158790875293,0.0006403066636271,0.0016291288216554,0.0002083540681546,3.21423200161726e-06,0.015691978229634,0.0080177853403243,ML10A,ML
ML.10A.7,4.701143860870774,0.8975677106610773,0.1907129647450534,0.042834306897052,0.0693457377501052,0.0002596370785037,0.0071254485632037,0.0008420324906216,5.95499932206473,0.2850370281971394,0.0102420752958188,1.990769432871604e-05,0.0005442513572658,0.2843894553703348,2066.4638379309963,0.0182700962904725,1.7561639075755728e-05,0.0914413843841986,0.4175724827086227,0.0007799814964848,0.0073279185184058,0.0619424382050404,0.0001705869013461,0.0007949099594962,0.0038287817105962,0.0007617924852223,2.161111354090694e-05,0.0174864680806594,0.01371334258841,ML10A,ML
ML.10A.8,4.973773591226144,0.9055278926431296,0.2015450858123569,0.046799551323157,0.0681838472524216,0.000249284747494,0.006610823322339,0.001064892700202,5.944825169314629,0.3587832327469313,0.0134943840353617,2.02494010379412e-05,0.0006247648550662,0.2851112247379461,1909.5772817593493,0.0180924497994319,0.0004905130361217,0.1040962158126956,0.4249243068688499,0.0006082795521031,0.0083049325521322,0.0265215284659483,0.0001231796662098,0.0012847894853003,0.0025764202061897,0.0009869989180996,7.762180576982633e-06,0.0146243068964377,0.0128041834124656,ML10A,ML
ML.10A.9,5.099653250654545,0.90912000157467,0.2167614463489911,0.0515966520308253,0.093955592588823,0.0004314715475671,0.0066192960521999,0.0014390810232298,5.892402268464572,0.2855342766239498,0.0086833091241164,2.316221925920232e-06,0.0004133233142042,0.2950689349873889,1736.4034628320044,0.0198177224499304,0.0003977781323424,0.1248999187721277,0.4388569636235158,0.0008170752112798,0.0080025240949359,0.0638861235655472,2.500801685337823e-05,0.0007745726443591,0.002609875949686,0.0003395698476463,2.5719013803893665e-05,0.0151453464341232,0.0118245132716821,ML10A,ML
ML.10A.10,5.8452745405046125,0.8912798502500917,0.2336257915723937,0.0614248786216024,0.1046015066399376,0.0004615787540722,0.0058795370230764,0.0013801988239642,5.508781887834085,0.2657651246563997,0.0172111291580435,0.0,0.0015644386719363,0.2855800496927349,1598.0998794413697,0.0198113407846026,0.001076746415412,0.1467459859163699,0.4296288455077287,0.0007746900036784,0.0073915559478387,0.0229020605307334,2.7172273536461528e-05,0.0012720283144767,0.0031156691540792,0.0009825979996313,3.252253526635647e-05,0.0141067470653846,0.0134016757042503,ML10A,ML
ML.10A.11,5.561024875607476,0.8824825369250728,0.2170794469063638,0.0556689754902936,0.075099145745541,0.0005254335570877,0.0052644489549298,0.0015656726541993,5.461691851212669,0.1354804096496204,0.0037354799319738,2.0800143293193545e-05,0.0028300529006599,0.289168198813956,1472.2977728522296,0.0183613708112958,4.622856380366659e-05,0.1546190082835279,0.4387793854431252,0.0006404463967263,0.0066710271510672,0.0759298125311341,5.898807681905721e-05,0.0004963870639486,0.0036862445421147,0.0003445113754415,4.968882785453449e-06,0.0115814203586826,0.0097504569121151,ML10A,ML
ML.10A.12,5.7971771290449015,0.853781740248625,0.221237997949557,0.0646859471392479,0.1002759927867051,0.0006735182390011,0.0056379543664515,0.0013096312845672,5.243446415047487,0.3904159669498525,0.038835171555262,5.238168813556107e-05,0.0021719562276002,0.2907809139456018,1369.9927899752695,0.0194591556457391,0.0003557328828415,0.154160757244341,0.4185007130620964,0.0007478509049171,0.0065631032578284,0.0212601233356142,1.0409800835336444e-05,0.0010817872343135,0.0031843575001406,0.0007585062406764,1.0819388098376255e-05,0.0109420135663101,0.0100486556598016,ML10A,ML
ML.10A.13,7.272229899476044,1.0079023304434314,0.2189071210552716,0.0630938359865866,0.1422659764650188,0.0004993864160386,0.0068373115952098,0.0017406543066638,6.214570848184693,0.4163558725445818,0.0131634231063034,3.590219136260954e-05,0.0021033371826727,0.3293527438799737,1211.9948223547358,0.0233740445619798,0.0007502979214213,0.133817480466784,0.4115963872048838,0.000920818997539,0.0078070809431345,0.0328298618640612,5.936222656625188e-05,0.0017911372211687,0.0036695516344001,0.0009629861817976,0.0,0.0122230038928308,0.0143531470502111,ML10A,ML
ML.10A.14,7.390389210714363,1.0720333493908354,0.2007074788187935,0.0640328356455184,0.1548224395739768,0.0009180065296246,0.0068002919363745,0.0031274407896623,6.791812697049519,0.3835617601824481,0.0167349972406236,2.4776195091173964e-05,0.0018857789454594,0.3410248400435042,1073.6962949648907,0.0242839802665768,0.0016897248903178,0.1199219669663843,0.4296616810195624,0.0009695316324041,0.0088475135419006,0.0685361687158674,8.148297179575687e-05,0.0013245750966958,0.0025781800721701,0.0009487963800597,0.0,0.0137652249526979,0.0164500158342092,ML10A,ML
ML.10A.15,8.49729139508959,1.222270557135969,0.2752629048933733,0.0896234538529143,0.200085977208201,0.0009147009897984,0.0074701634437425,0.00161837370218,7.467233072262903,0.3017228764607706,0.0029535006062605,2.9127110456795776e-05,0.002562004310324,0.3976608961690641,941.5862583393214,0.0299533845120681,0.002162936650508,0.1641912841264964,0.4719549747890822,0.0010572120786516,0.011338978478064,0.0464377927959666,0.0002966283101459,0.0023594552145587,0.0030896226376183,0.0013370761934704,0.0,0.01475738882777,0.0184801781370668,ML10A,ML
ML.10B.1,1.2541091212436748,0.1371951114411906,0.0353243484410909,0.0210989988986353,0.0246203854618132,0.0001364707576576,0.0003831626912733,0.0004802593174586,0.6765802295020696,0.0558010044453815,0.0007311600121919,6.378099139278212e-06,0.0001483749840128,0.0331502986784621,8833.879567870174,0.0053251117599727,0.003055998933821,0.0568493440133855,0.0790448203791234,0.0060053277187007,0.0013159688405389,0.0088351754283991,0.0,0.0002661783215014,0.0072078313820762,0.00149893864264,1.542973525433252e-06,0.0094188304732462,0.0071556376600045,ML10B,ML
ML.10B.2,2.276732340092173,0.2086318146015746,0.0550490114318495,0.0298541599079368,0.0401420408063808,0.0001519864002643,0.0007821971699167,0.0007700672073955,1.0326642040206264,0.0390291326978696,0.0015333671916718,2.6090060209218808e-06,0.0004263151199424,0.062404995721766,5004.345415157206,0.0084522389825552,0.0068076605278334,0.0645894500314656,0.0979158833221118,0.0043793843011968,0.0022306840182648,0.0092626281207098,1.4700507653632737e-05,0.0002396983624314,0.0227648697684727,0.0017886930487727,0.0,0.0089667071859639,0.0103809597549614,ML10B,ML
ML.10B.3,3.077601188683692,0.3051667278897395,0.0853872226823148,0.0343476743827003,0.0642227456285066,0.0001448165825897,0.0013072984892971,0.0013251229062625,1.4807236344451835,0.0598882834556581,0.0003778767777347,3.6826998117219103e-06,0.0003710406494285,0.0911939221778062,3768.959216623689,0.0099022381034124,0.0067794428304174,0.0894427944074666,0.1415590166152293,0.0035792261423193,0.0026585146627301,0.0104306503807879,4.779651821069728e-05,0.0003009923435027,0.0151656852907483,0.0006799366475263,3.616500343110596e-06,0.0066656537393082,0.009808079125898,ML10B,ML
ML.10B.4,2.7990211078317704,0.3237326216755707,0.0797789657870867,0.030332301356372,0.0528327846742581,0.0002405980891766,0.0012882649129691,0.0010545912399045,1.4302869953686994,0.1848168140399976,0.0004666692568828,5.96673963760458e-06,0.001153489770565,0.0719493506328451,3282.286838015844,0.0056654635666034,0.0014406232684697,0.0966458406258978,0.1357434377752207,0.0023121400134757,0.0024404997496635,0.0106480832687879,0.0,6.504462490258657e-05,0.0010080973772539,0.0010246551540382,0.0,0.0056488150747815,0.0055533513315729,ML10B,ML
ML.10B.5,3.277772506020744,0.3451153476862251,0.1110524504144326,0.0294759592552223,0.0586790866628176,0.0001646399655939,0.0015075847062725,0.0015770161665177,1.6236078519525583,0.1117427432661246,0.001475039547087,6.799733562645372e-06,0.0005847934870275,0.1059928472719361,2880.1938778844965,0.0091507799340148,0.0033276609022162,0.095270665695069,0.2236739690332369,0.00190857203361,0.0029485685075664,0.0097082488552101,6.7387293607303e-05,0.0006277400626427,0.0065603954796759,0.0016181951793293,0.0,0.007072106373506,0.0049775939787955,ML10B,ML
ML.10B.6,3.2148258400028533,0.3132506459791254,0.1012033793911512,0.0234552621590824,0.0636724500881584,7.843994138897915e-05,0.0016517603297883,0.0023649743123647,1.5227705065651018,0.1219009761301346,0.0012409129090493,1.8465040926058627e-05,0.0002988038241689,0.0976823506700549,2519.4021438149293,0.0075943296597084,0.0013650766569162,0.0864644010616128,0.2177607052321389,0.0015923843873758,0.0022408009989695,0.0103666601097786,3.549715687176757e-05,0.0002625287307099,0.0035942162676637,0.0011846061226863,2.7050946061850067e-06,0.0063824803676951,0.004136640705839,ML10B,ML
ML.10B.7,3.4262672383379247,0.3406128184056052,0.1139440159392403,0.0259730533725405,0.0689596305033257,0.0002613723495916,0.0017974728447382,0.0013110476064041,1.6853965596164102,0.1378718278444035,0.0011721940705434,2.6558871871300023e-05,0.0011880591456528,0.1123657678017055,2274.223445366304,0.0085648571804321,0.0018375139736786,0.0901489802545344,0.2282310295115932,0.0016289178086712,0.0019561622866637,0.0086507619875635,1.923992141525802e-05,0.0004484150476498,0.0041698480008682,0.00049281600381,9.074216986781668e-06,0.00648516689636,0.0047250070761708,ML10B,ML
ML.10B.8,4.116055511860879,0.4064421861039843,0.1194961799514936,0.0348047480100276,0.08370151040241,0.0004848660939157,0.0017888312434804,0.0015670323088089,2.015354217262056,0.1116109147232376,0.0023673581814344,4.979672758136538e-05,0.001489306392618,0.1321599500933524,1836.566711171352,0.0115136078640994,0.0031777401286378,0.0945792311333469,0.2488485239194686,0.0022141435777195,0.0024329690141129,0.0102666503936397,2.3824824931993765e-05,0.0009537215180427,0.0076761996754682,0.0007297573812639,1.1132546030464632e-05,0.007288610316914,0.0059431056875965,ML10B,ML
ML.10B.9,3.9753275845554903,0.4090611488642219,0.0963648272801531,0.0285184457273332,0.0931973753518666,0.0001952601595514,0.0015194392286513,0.0014503422065538,2.014243439222584,0.057989513128051,0.0030450037752194,5.564377414388097e-05,0.0006651743260568,0.1229377173432829,1511.4584112455289,0.0105830503107024,0.0038081885378677,0.0801595858495119,0.2137868051886668,0.0029914924896263,0.0031465714236408,0.0093691821507712,1.9299629216405924e-05,0.0005346180601739,0.0103097058615304,0.0006903414320957,0.0,0.0072385148033329,0.0068928570492787,ML10B,ML
ML.10B.10,2.993290010828212,0.3711622325884329,0.0891607923766884,0.0307226958795002,0.0822806959192381,0.0003042884287109,0.0008639718126679,0.0015960429812371,1.851415337712407,0.1041483902290515,0.0005953465855734,3.533645558498207e-05,0.0004151894407083,0.1072742097863023,1339.818637424221,0.0091045749259711,0.0041095646647596,0.09167897591112,0.1787725893808052,0.0017333001165826,0.0022579506174702,0.0117178025743195,4.497700250301056e-05,0.0001198366323806,0.0084434130787335,0.0006505466289464,1.0173348779722687e-05,0.0057291478540955,0.0073976320444304,ML10B,ML
ML.10B.11,4.27570020355623,0.4721640673660184,0.1302964887735863,0.0359682606079033,0.1086395743565001,0.0001844251329832,0.0018900667356025,0.0023432558191822,2.3415652725111133,0.1037558360652472,0.001505693563805,0.0001196890573405,0.001537096306665,0.1531562265717343,1180.3099744370222,0.013072520865023,0.0051884649664191,0.09925749420027,0.2845032153033418,0.0020029890778184,0.0032623689546409,0.0125504127719676,0.0001784222965961,0.0004662230576659,0.0115030611136285,0.0015458750159275,1.7322283038306257e-05,0.0061514310092843,0.0077480469965562,ML10B,ML
