Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
90281.96825,6531.64092,11802.9101,1981.30458,127043.00976,18.96088,5.11111,1.0,2001.61329,188091.79369,90.81445,761.66667,1999.21927,682.16667,201.99315,21.86435,27.0,8438.88671,363.01779,102vD.a_4,4464.08339,419.43281,883.94986,1.0,5589.33741,17.33725,1.0,1.0,105.95438,8295.46756,2.35778,69.73557,121.71927,21.22222,1.19624,1.0,1.0,1.0,15.15705,102vD.i_4
93582.46825,6689.69648,11433.29898,3002.9121,174333.73199,12.14476,4.44444,1.0,2069.61329,185969.68258,81.37,770.33333,1835.38594,710.5,203.60426,19.08657,32.88889,9071.05338,396.85112,102vD.a_5,4443.36117,446.65503,938.22764,1.0,6050.94852,33.99922,1.16667,1.0,106.1766,8096.30089,3.58,62.79112,109.88594,25.16667,1.0,1.82083,1.37259,1.0,24.10149,102vD.i_5
89994.91269,6655.4187,11840.57676,1787.24544,137391.95421,11.06338,5.38889,1.0,1942.11329,182843.73814,86.25889,737.61111,1976.66372,606.83333,212.38204,26.36435,28.94444,5773.49782,359.51779,102vD.a_6,4246.08339,432.54392,833.56097,1.0,6064.39296,16.25587,1.0,1.0,107.06549,7975.52311,3.62111,61.79112,131.33038,19.5,1.0,1.0,1.37259,1.0,21.37927,102vD.i_6
88746.80158,6695.02981,10957.18787,2654.74544,132275.78754,36.3795,6.5,3.22222,1962.94662,180812.84925,74.37,777.55556,1751.49705,602.83333,155.15982,17.16369,32.77778,9432.22004,387.1289,102vD.a_7,3975.80562,424.48836,965.67208,1.0,5596.44852,20.36698,1.05556,1.0,99.73216,7833.96756,3.43389,56.95779,126.9415,20.38889,1.09812,1.37638,1.37259,1.0,13.82371,102vD.i_7
90180.24603,6965.75203,13742.07676,1495.86014,134338.28754,63.85837,7.0,1.0,2229.05773,177964.96036,82.03667,707.94444,1851.60816,696.77778,211.49315,21.93533,48.61111,8384.99782,366.07334,102vD.a_8,4220.58339,376.15503,863.17208,1.0,5260.00408,18.31142,1.05556,1.0,95.84327,7639.74534,3.20556,63.18001,123.66372,19.16667,1.0,1.0,1.37259,1.0,14.82371,102vD.i_8
92173.46825,6958.86315,12256.85454,3169.52681,194694.89865,25.12754,5.33333,1.0,2065.61329,174559.62703,83.81445,688.77778,1801.38594,719.16667,201.9376,18.75937,44.55556,6257.55338,321.46223,102vD.a_9,4059.63895,369.98836,827.22764,1.0,5642.05963,12.14476,1.0,1.0,98.06549,7304.07867,2.64389,52.23557,100.38594,20.05556,1.0,1.0,1.0,1.0,14.54593,102vD.i_9
112285.8052,51464.77778,21561.54197,1145.19925,371745.05074,1433.52163,58.33333,36.97778,7601.63949,554951.14105,342.36667,117569.33223,5418.45272,1872.31445,4.75335,17240.32718,2811.76428,2310.33324,114845.34397,108.a_0,3409.57545,497.59761,484.39575,1.0,8529.26477,194.09315,1.03854,1.0,53.31622,16426.56485,1.11111,3281.45779,12.34005,22.70334,1.0,378.30111,47.4967,52.21077,2404.04445,108.i_0
107291.8052,49536.72222,19694.43086,1127.03259,333325.43963,1404.74385,59.55556,37.9,7420.30616,506403.47438,314.58889,104887.05446,4940.84161,1862.42556,9.30002,19341.77162,2926.81983,2295.38879,116650.28842,108.a_1,3394.63101,515.81983,353.00686,1.0,8350.37588,94.85228,1.07708,1.0,58.64955,15838.17596,1.83333,3258.12446,16.29408,21.31445,1.0,373.57889,47.60781,28.88488,2309.04445,108.i_1
101159.97187,52087.5,16802.81974,1142.58814,316487.99519,1427.46608,50.33333,26.87778,7313.36171,473053.97438,265.08889,96381.05446,4891.89716,1813.70334,3.64668,14647.0494,2795.9865,2304.77768,114525.28842,108.a_2,3060.68656,434.04205,320.61797,1.0,7499.48699,148.18561,1.03854,1.0,46.42733,15055.50929,1.55556,3206.84668,17.06707,21.81445,1.0,327.24555,46.60781,26.55155,2304.37778,108.i_2
102534.58298,50281.83333,17828.59752,1214.75481,317457.6063,1443.85496,54.33333,37.43333,7452.2506,449115.91883,392.86667,90800.66557,4059.67494,1778.48111,4.58891,18937.5494,2932.81983,2463.22212,128631.95508,108.a_3,2729.96434,408.76428,292.34019,1.0,6835.76477,195.66706,1.0,1.0,46.31622,14530.17596,1.0,3079.68001,13.17818,21.81445,1.0,276.24555,43.38559,26.61083,2512.4889,108.i_3
