,name,S,Cu,Zn
33,APP3B,0.1378798411351219,0.08878049998362746,0.5377231657337422
34,APP3C,0.1545538233248073,0.1414820510328892,0.5257981853485345
35,APP4A,0.16915925184592856,0.08486669506325871,0.532043704633286
36,APP4B,0.1813422900738487,0.07962141344093662,0.5308795324240622
37,APP4C,0.17470335749553498,0.07728803704122846,0.5382390201252586
38,APP5A,0.16246627260430901,0.16123882579966917,0.4194432983081893
39,APP5B,0.16567999059440466,0.10170045842226728,0.5252900664262783
40,APP5C,0.16207624684524305,0.07733132348519077,0.5797864754811062
41,APP6A,0.18305646700150757,0.15670564768146966,0.0
42,APP6B,0.23859017799645632,0.20897907592544857,0.0
43,APP6C,0.19412817009057853,0.12454269298118582,0.0
44,APP7A,0.2081419204771886,0.11624665325152665,0.522879162043382
45,APP7B,0.20355233376701032,0.12056061536262488,0.46238349559579073
46,APP7C,0.2033666705303297,0.14454641690976136,0.4291597787151772
47,APP8A,0.09989771735385199,0.0693138447006626,0.5203524077184596
48,APP8B,0.15817826712380753,0.07076158630213426,0.5397727698117212
49,APP8C,0.21408004063189226,0.14825012046940403,0.47516021610339376
50,APP9A,0.20464467557299798,0.10243027498235449,0.5291222206670467
51,APP9B,0.18816206892420148,0.10966605171070717,0.5279759173234546
52,APP9C,0.197719949456247,0.09496512132578676,0.5383403433620612
53,APPMF1A,0.18587061621443038,0.1531042450776322,0.5448719562585292
54,APPMF1B,0.19896785951285625,0.10373953943545941,0.5197426379171786
55,APPMF1C,0.17515644929005486,0.13664533919727315,0.5797870075876103
56,ASC0B,0.1095947293956929,0.16737366399667974,0.45764088798457125
57,ASC0C,0.1343418490583641,0.23276029921676625,0.0
58,ASC0,0.07823233382927135,0.13682822255640106,0.42888490660293743
59,ASC10B,0.30851055748254935,0.4389808531801528,0.0
60,ASC10C,0.20716692505264261,0.523219477934624,0.0
61,ASC10,0.2939608311200394,0.36666406621023234,0.0
62,ASC11B,0.3216205065728264,0.5879361155667152,0.0
63,ASC11C,0.2834589008945173,0.5007451565705305,0.0
64,ASC11,0.19738844518147303,0.47865732601650707,0.0
65,ASC12B,0.281580434453723,0.39753659910432465,0.0
66,ASC12C,0.23204294450173982,0.40719563414299886,0.0
67,ASC12,0.2582281657931376,0.5786011412764337,0.0
68,ASC13B,0.26705304656282614,0.5850459943376566,0.0
69,ASC13C,0.28221160880077517,0.6485667985510817,0.0
70,ASC13,0.2811080030127631,0.5403614008717758,0.0
71,ASC14B,0.13598978768217077,0.19327284686971719,0.5228615320029796
72,ASC14C,0.1394488176183915,0.10740925902349532,0.4969098816471696
73,ASC14,0.13296435990495026,0.11464940826220413,0.5330764877749872
74,ASC15B,0.16442615203314395,0.13973245651317037,0.5518817331538279
75,ASC15C,0.1978789864075116,0.1617731320748669,0.5646508883248923
76,ASC15,0.11304946522034637,0.09352790356422461,0.5827116149450253
77,ASC16B,0.2882654417179333,0.5751988276067104,0.0
78,ASC16C,0.3182321940016592,0.6023700585699524,0.0
79,ASC16,0.22397333198690467,0.5344128953681843,0.0
80,ASC17B,0.2944900357030586,0.47000449301872693,0.0
81,ASC17C,0.3229466199631719,0.4781375499916034,0.0
82,ASC17,0.25426804813066844,0.5056068783936896,0.0
83,ASC18B,0.2692857674186191,0.4166729638831361,0.0
84,ASC18C,0.31157386904852774,0.7092957537419271,0.0
85,ASC18,0.20331797066296556,0.4016303008117571,0.0
86,ASC19B,0.27953340628906953,0.5892199657131747,0.0
