S,K,Mn,Cu,Zn,NAZWA,OPIS,short
0.2463106331341083,1.3828291205786287,0.26582504820611813,0.3405082318932336,0.4764551690637903,ML15A,treść,ML
0.18454684406685248,0.9220862328199829,0.17783133710068125,0.18993103123095814,0.5087408882565602,ML15B,treść,ML
0.23495786096266733,1.1066761201676754,0.2203681540083523,0.23408783256630908,0.5281072365894489,ML15C,treść,ML
0.20432982124248303,0.8315932069912376,0.17554179101201398,0.18275881408528613,0.5043223698777526,ML16A,treść,ML
0.16113404529167444,0.6797469540267306,0.15442723141357304,0.20038027395971725,0.5480688942632431,ML16B,treść,ML
0.17700270519046077,0.7816533975747836,0.15875867315196082,0.15366185556710799,0.5689881158507833,ML16C,treść,ML
0.14696904154448873,0.6293737443895814,0.1217509967011118,0.13939025376009143,0.4814982203846059,ML1A,podpis - Kossakowski,ML
0.11502889443589383,0.5430023837754919,0.10202438328135444,0.1406159859079771,0.4426807928005836,ML1B,podpis - Kossakowski,ML
0.1405438429371087,0.5700151212672976,0.11200596684761283,0.1317983647806503,0.4616691889961991,ML1C,podpis - Kossakowski,ML
0.10459943930650333,0.5651762553608674,0.1261323500520552,0.16345349168445303,0.45397428970669035,ML2A,podpis - Jabłonowski,ML
0.09299508915526476,0.5073195069722215,0.119856483669745,0.1453636609384906,0.4133995865271867,ML2B,podpis - Jabłonowski,ML
0.1127526662069747,0.5633702538933636,0.1243131657277935,0.15830929901787358,0.3915451485481856,ML2C,podpis - Jabłonowski,ML
0.10747756611845787,0.5344791855183285,0.09870040231405885,0.11763220958606346,0.508489217988571,ML3A,podpis - Szydłowski,ML
0.0764041625718288,0.49225574099234964,0.1011972999174433,0.13195071284452117,0.4569768094854207,ML3B,podpis - Szydłowski,ML
0.11433760852258114,0.6590913929941536,0.1349644083889792,0.17864979926391908,0.4483723480432136,ML3C,podpis - Szydłowski,ML
0.08226448582294776,0.41840895636959335,0.08222037880683875,0.10084334116399359,0.44005079894043436,ML4A,podpis - Kwilecki,ML
0.0961577579411574,0.5451868933607681,0.11273183319952175,0.15241821913100295,0.4533352313244879,ML4B,podpis - Kwilecki,ML
0.11311026201662916,0.5950649019972155,0.1269255633151973,0.1616450668701993,0.44276429548056656,ML4C,podpis - Kwilecki,ML
0.11950612014615232,0.6752732074473294,0.16538299901047607,0.173905378020576,0.4283684472271192,ML5A,podpis - Plater,ML
0.08324159126830293,0.5400749281017475,0.12965282227439714,0.17957911300146226,0.45791170323751823,ML5B,podpis - Plater,ML
0.10824560460780512,0.7140314885549442,0.16053830067073108,0.20042771066273582,0.43335534574070284,ML5C,podpis - Plater,ML
0.07942256182392093,0.45511679654000664,0.1060562321544326,0.1471390673468865,0.4396469401204879,ML6A2,podpis - Stroynowski,ML
0.1003803802606905,0.5522992301395863,0.13991978717017076,0.16645281022784827,0.4395579680404788,ML6B,podpis - Stroynowski,ML
0.058184166518578696,0.3566325313029652,0.07864333305499237,0.11034739902177214,0.3685106386624198,ML6C,podpis - Stroynowski,ML
0.12713425839222595,0.749794376652002,0.15189219706533508,0.19414792106095466,0.442896545972105,ML7A,podpis - Potocki,ML
0.12120949204747604,0.7836072649257901,0.166904694248471,0.20410625127020043,0.4343631878772794,ML7B,podpis - Potocki,ML
0.09891466183023272,0.6449125684163186,0.1381472189863587,0.17684097066253793,0.40817647695969494,ML7C,podpis - Potocki,ML
0.14036502119091268,0.7710992117116509,0.1485736120619794,0.15818481765757472,0.4937862776855561,ML8A,podpis - Zboiński,ML
0.14275571399667678,0.737584301992278,0.1567266889197434,0.16788773324685938,0.4755526540586879,ML8B,podpis - Zboiński,ML
0.22038105275621792,1.074099866844145,0.22545875283481479,0.27319800291874047,0.4931134150563971,ML8C,podpis - Zboiński,ML
0.17178477216357677,0.7580434092028306,0.14060928023310545,0.13962296373315383,0.5135000414708214,ML9A,podpis - Nowowiejski,ML
0.17494087829017438,0.7729933183029791,0.1514557535686524,0.16619491813776632,0.48103864600344953,ML9B,podpis - Nowowiejski,ML
0.17255993823299043,0.729722083276284,0.16063710928108624,0.17698016117476467,0.48241435563566415,ML9C,podpis - Nowowiejski,ML
