,Al,Cu,S,Zn,Pb,short,probka,OPIS
104,0.005094415749315043,0.0011759613107695,0.006649898205725056,0.26566761512396647,6.306573869866982e-06,ASC,ASC23,poprawka
105,0.023082456582117057,0.1333479325381582,0.006348997578504621,0.3031270651580783,0.0009785959224116285,ASC,ASC23,poprawka
106,0.023050429170979526,0.0753601954990236,0.005066760964194135,0.2564047249723312,0.0012842144010918857,ASC,ASC23,poprawka
107,0.07949801020257959,0.04050937282349261,0.0008363903034244001,0.033748719249232124,0.0045721041047915075,ASC,ASC2,poprawka
108,0.10900250024201849,0.06107261429340751,0.0023060660042285713,0.24642912894139316,0.012172883571108021,ASC,ASC2,poprawka
109,0.9721451930551499,1.0032105896011256,0.016916549958117477,0.34498391988968347,0.02822250776380376,ASC,ASC3,komentarz
110,0.6676694210849556,0.5086964460362408,0.008770548986154493,0.24249553810833438,0.04136145319256846,ASC,ASC3,komentarz
111,0.33867843925616675,0.3156099357207622,0.015740345487356276,0.06006207453623259,0.023517120374520886,ASC,ASC4,treść
112,0.2965623043109687,0.27915271711241096,0.029522110737829985,0.1619127995647137,0.023631388456516324,ASC,ASC4,treść
113,1.08037781248983,1.1830331134451282,0.012697116158956077,0.4424399018148035,0.02853471818794737,ASC,ASC5,komentarz
114,0.6099135464475305,0.5754707865972615,0.00586822440813955,0.10887947073564368,0.012940078750951293,ASC,ASC5,komentarz
115,0.1858956851764216,0.36528871630429066,0.0036085007522956357,0.10895014873186683,0.022855727874848276,ASC,ASC6,treść
116,0.1779159335356075,0.236619038814631,0.0028850137901807638,0.07635222209720763,0.01372914183367578,ASC,ASC6,treść
117,0.42651597814282677,0.7369186889384948,0.005110085671118622,0.1890421603332532,0.04413752578565465,ASC,ASC7,poprawka
118,0.052824979022879484,0.10074306727561703,0.0007446925741267357,0.103082897181902,0.008581947534330942,ASC,ASC7,poprawka
119,0.27040724253452436,0.4669232568225401,0.005350282842593585,0.11087859628830939,0.02474049324741496,ASC,ASC8,treść
120,0.20468599994829967,0.18864567010013264,0.0011675409533543001,0.12459398683260502,0.016455222477579075,ASC,ASC8,treść
121,6.787849605952151,3.6608833030906784,0.02476937032848598,2.061853446638612,0.5143891279278981,ASC,ASC9,komentarz
122,0.552812507107716,0.5586621518405053,0.0020413189002173146,0.18446229910505746,0.045388630344852646,ASC,ASC9,komentarz
123,0.6792122396909034,0.5949019476041094,0.008433326434360986,0.15910942224203106,0.06752764235030949,ASC,ASC9,komentarz
124,0.07641561690372933,0.12154727593354601,0.001211948652755257,0.2634847400394311,0.02822893369419497,ML,ML0,podpis - Małachowski
125,0.071517996535272,0.13100040707276,0.0018168276363887074,0.2767920656994919,0.013375528948508107,ML,ML0,podpis - Małachowski
126,0.13797596370334037,0.1971644203179445,0.002033490017537029,0.368780529483102,0.03246781310493728,ML,ML0,podpis - Małachowski
127,0.04779096048336146,0.11604089209959889,0.006133169928095872,0.40885831035524645,0.01135283269249507,ML,ML10,podpis - Radzicki
128,0.04141662397508387,0.09780791428298397,0.0017109568109475645,0.23078839889506889,0.009317526820791842,ML,ML10,podpis - Radzicki
129,0.06439369222591357,0.1218632088652261,0.0032677444352361426,0.36070432772331346,0.004250244815330558,ML,ML10,podpis - Radzicki
130,0.04284715114713498,0.18862922531862283,0.003851321584070207,0.2851748394367137,0.09742459733149723,ML,ML11,podpis - Zabiełło
131,0.2921679105277838,0.4440911822466868,0.006864917780201,0.35566151388603295,0.000272627901094633,ML,ML11,podpis - Zabiełło
132,0.10391184542054366,0.2589616742493081,0.0041747045607240145,0.4164971935550215,0.0372721363834238,ML,ML11,podpis - Zabiełło
133,0.01153459264723455,0.10312058193575084,0.004917387187128586,0.3026095879111959,0.008081760298929671,ML,ML12,podpis - Puttkamer
134,0.06050624184104409,0.11714949916918681,0.004528128757556079,0.30188621495443735,0.01790226898214712,ML,ML12,podpis - Puttkamer
135,0.06748416915852591,0.12762366273622514,0.0032088418862667423,0.3021321448100228,0.009757145092964941,ML,ML12,podpis - Puttkamer
136,0.5026274874139169,1.0228196230409734,0.0061886343568930075,1.1511307352545326,0.210716489761934,ML,ML13,podpis - Sapieha
137,0.05294143777984681,0.15593523427580622,0.0027341063900939997,0.24278944912900274,0.007252010195647522,ML,ML13,podpis - Sapieha
138,0.04263622052188785,0.12400771767285804,0.003573903147562393,0.38582428862025686,0.009811923225177958,ML,ML13,podpis - Sapieha
139,0.02772733508260517,0.1024677809870659,0.004644980560382208,0.4115420390937518,0.005333500063674342,ML,ML14,poprawka
140,0.5049050965655272,0.4894189046207082,0.004338506383892121,0.4729702883190988,0.14089550651320065,ML,ML14,poprawka
141,0.01651842014200355,0.16209986345536936,0.0047959892064449935,0.47226359461249406,0.04638828592547147,ML,ML15,treść
142,0.13898149816005223,0.1861005511990693,0.0048167430466246495,0.3974437479947995,0.027425547186104442,ML,ML15,treść
143,0.23406271934280337,0.21570292920257636,0.0035937523758121357,0.24068735520033924,0.04603129070076444,ML,ML16,treść
144,0.0934263795477628,0.13329441432974048,0.004171242481862792,0.29762956019687997,0.025394328457812403,ML,ML16,treść
145,0.27563687885108984,0.25132551838501543,0.007396081723325342,0.3792909210661319,0.026304544311528722,ML,ML16,treść
146,0.09486693265256221,0.18436292880989802,0.004692235318673536,0.532289629657408,0.016184415646411928,ML,ML1,podpis - Kossakowski
147,0.1319441776774011,0.22867186336200143,0.005426636569058215,0.48356879469540115,0.026829055325244492,ML,ML1,podpis - Kossakowski
148,0.06499523534506295,0.1548750550274132,0.0021345194197316857,0.37055189417148604,0.006583546714942466,ML,ML1,podpis - Kossakowski
149,0.1683898543669037,0.23932129732683166,0.002986836006087186,0.2925661078823825,0.032000069764157445,ML,ML2,podpis - Jabłonowski
150,0.12435310777466782,0.2689194659163073,0.003881549608935828,0.26817943168333747,0.025550025334487303,ML,ML2,podpis - Jabłonowski
151,0.12124231760121547,0.29130380504275627,0.002292074211008593,0.22977503860145765,0.033828020137077676,ML,ML2,podpis - Jabłonowski
152,0.04515578630081784,0.11986827334851517,0.0017730397996241784,0.3392071370139856,0.008592416226442145,ML,ML3,podpis - Szydłowski
153,0.05582990703241241,0.13273549485371366,0.0008493385368561499,0.1336300280264443,0.013250950844969344,ML,ML3,podpis - Szydłowski
154,0.11322643584313452,0.23081145396105635,0.0020311509846148287,0.18769630557764003,0.044024530194776805,ML,ML3,podpis - Szydłowski
155,0.07444230288679332,0.20626085875663272,0.0025840821370130356,0.5932087197012852,0.023337377443117154,ML,ML4,podpis - Kwilecki
156,0.06746865025130819,0.21675864031269126,0.0013783681000246,0.20178572151763288,0.020537797061133598,ML,ML4,podpis - Kwilecki
157,0.09692133484955252,0.15682875709337354,0.0006385551831623213,0.18383939766575222,0.016589717527637972,ML,ML4,podpis - Kwilecki
158,0.13167927820286715,0.24602032440685376,0.0008515113026922287,0.19576978162348949,0.03635272560361117,ML,ML5,podpis - Plater
159,0.29696066716878805,0.1168783082127898,0.011181889636074699,0.09619932473917907,0.029818810445584508,ML,ML5,podpis - Plater
160,0.1585438565657771,0.27860138902787285,0.001541855626854257,0.21117643597154542,0.03141349136247119,ML,ML5,podpis - Plater
161,0.11493117214950015,0.27809735483460557,0.0023417589609721645,0.2979984742916426,0.019807885547957184,ML,ML6,podpis - Stroynowski
162,0.14746236966858242,0.23008655293539862,0.000957492329101343,0.2229988521514603,0.023143068244037147,ML,ML6,podpis - Stroynowski
163,0.10215299853537761,0.2833702008321184,0.0018188745054047643,0.22102321873313663,0.01713046966285365,ML,ML6,podpis - Stroynowski
164,0.09414628616469913,0.2527199325494759,0.0010770968867782,0.12240221919009997,0.015500830928427686,ML,ML7,podpis - Potocki
165,0.18559945000837033,0.3294642181030584,0.0016892241870733286,0.1794998346423932,0.03681965799476038,ML,ML7,podpis - Potocki
166,0.09237375690652473,0.2789615546724368,0.0013213890763198286,0.15498382037801792,0.021596994433618094,ML,ML7,podpis - Potocki
167,0.13220164289646633,0.14973336744037383,0.002172953053479257,0.22068689097754726,0.03282215104498417,ML,ML8,podpis - Zboiński
168,0.13918316811014284,0.25819177780973435,0.004377728210941336,0.3021078672962546,0.029767093510372915,ML,ML8,podpis - Zboiński
169,0.05371984981367504,0.12392931217079295,0.002532466926848936,0.25912275913342264,0.009177564412538109,ML,ML9,podpis - Nowowiejski
170,0.10791689990210004,0.19424921803439021,0.0037216331816152296,0.4891665024172382,0.020355778931501253,ML,ML9,podpis - Nowowiejski
171,0.05804091616197488,0.10016300413261549,0.0015487832975147144,0.169254606166617,0.008174033198010492,ML,ML9,podpis - Nowowiejski
